"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_1"
5.07386078479111e-13,-1.61093673294729,0.163,0.357,1.2738942272375e-08,"oc90",7.18406647528629e-11
5.45953051211785e-13,-0.361073380936202,0.929,0.98,1.37072432567743e-08,"sem1",7.53688187197869e-11
5.86781512658971e-13,-1.30664304613462,0.119,0.307,1.47323234383288e-08,"adhfe1",7.90294515342156e-11
6.58324594414975e-13,-0.680385073903035,0.376,0.576,1.65285555919768e-08,"metrnla",8.65540097704641e-11
6.7653885403852e-13,-0.112248669072833,0.991,0.995,1.69858610083451e-08,"faua",8.68801756279234e-11
1.30951910621196e-12,0.255818582939196,0.943,0.958,3.28780961996636e-08,"hnrnpa0a",1.64344647829601e-10
1.42665510657411e-12,-1.25432477461806,0.335,0.53,3.58190297607562e-08,"barx1",1.7506643330005e-10
1.68020253829713e-12,-0.641060775592942,0.227,0.449,4.21848451290261e-08,"si:ch211-66k16.27",2.01697356879929e-10
4.0612594024325e-12,-0.110886658194014,0.998,0.998,1.01966039816873e-07,"ENSDARG00000046157",4.77154774898559e-10
4.19212940490155e-12,-0.105338535073734,1,1,1.05251792968863e-07,"rplp1",4.82269553622216e-10
5.52253724399207e-12,0.577061906382756,0.814,0.779,1.38654342584909e-07,"ppih",6.22356135945393e-10
5.90633863943564e-12,-1.19209291925371,0.064,0.224,1.48290444220311e-07,"ctslb",6.52296039339272e-10
6.64250026911709e-12,-1.31395604926835,0.06,0.21,1.66773254256723e-07,"si:dkey-26g8.5",7.1921346051107e-10
7.14557207872047e-12,1.16895870383026,0.674,0.537,1.79403878180435e-07,"sox4a",7.58804788821047e-10
1.17834990300428e-11,-2.81365620367392,0.034,0.167,2.95848310147284e-07,"ccn2b",1.22770720082823e-09
2.43547338062195e-11,-0.115917363552292,0.995,0.998,6.11474301672754e-07,"rpl37.1",2.49049703848045e-09
3.11283966003793e-11,-0.476053319622719,0.64,0.762,7.81540653445724e-07,"phb2a",3.12529101867809e-09
3.6217872939592e-11,0.838244532007445,0.881,0.819,9.09322135894337e-07,"AL935186.10",3.5713409709362e-09
